,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane,transfer_times,pass_stations
142,47.1,67.0,False,False,False,False,2,9
143,98.9,158.0,True,False,False,False,1,4
144,115.4,90.0,False,True,True,False,1,21
145,90.7,96.0,True,False,False,False,1,9
146,89.6,96.0,True,True,True,False,2,4
147,84.8,103.0,True,False,False,False,2,15
148,127.4,103.0,False,True,True,False,1,43
149,141.5,131.0,False,True,True,False,1,69
150,46.7,71.0,True,False,False,False,1,14
151,131.9,114.0,False,True,True,False,1,49
152,166.8,98.0,False,True,True,False,2,13
153,174.8,105.0,False,True,False,False,1,8
154,164.0,102.0,False,True,True,False,1,13
155,127.8,96.0,False,True,False,False,1,7
156,134.3,127.0,False,True,False,False,1,10
157,90.8,73.0,False,True,False,False,1,5
158,120.3,106.0,False,True,False,False,1,8
159,106.6,63.0,False,True,True,False,1,8
160,114.8,153.0,True,False,False,False,2,15
161,130.2,108.0,False,True,True,False,2,15
162,111.7,195.0,True,False,False,False,2,19
163,161.0,112.0,False,True,True,False,1,20
164,79.8,100.0,True,False,False,False,1,8
165,136.8,111.0,True,True,True,False,2,11
166,117.6,102.0,False,True,False,False,1,7
167,125.4,109.0,False,True,False,False,1,16
168,118.3,116.0,False,True,False,False,1,6
169,142.0,147.0,False,True,True,False,2,19
170,23.3,49.0,False,False,False,False,0,16
171,40.1,54.0,True,False,False,False,1,11
172,70.1,73.0,False,True,True,False,1,14
173,20.4,55.0,False,False,False,False,1,16
174,71.3,87.0,False,False,False,False,2,15
175,87.4,130.0,True,False,False,False,1,13
176,36.5,74.0,True,False,True,False,3,12
177,53.8,85.0,True,False,False,False,1,11
178,61.3,94.0,False,False,False,False,1,15
179,125.3,94.0,False,True,False,False,1,7
180,59.4,82.0,True,False,False,False,1,13
181,44.6,65.0,False,True,False,False,1,10
182,43.2,68.0,True,False,False,False,2,12
183,65.8,149.0,False,False,False,False,1,15
184,51.8,73.0,False,False,True,False,2,15
185,81.5,100.0,False,False,False,False,1,15
186,39.6,56.0,False,False,False,False,0,8
187,20.6,60.0,False,False,True,False,2,17
188,32.8,78.0,False,False,True,False,2,16
189,21.0,47.0,False,False,True,False,1,18
190,19.8,43.0,False,False,True,False,2,10
191,45.5,57.0,True,False,False,False,1,10
192,25.7,51.0,True,False,False,False,1,8
193,27.5,63.0,True,False,False,False,2,8
194,20.2,42.0,False,False,False,False,1,14
195,29.8,72.0,True,False,True,False,2,18
196,42.8,59.0,False,False,False,False,1,8
197,52.5,76.0,True,False,False,False,1,7
198,50.9,87.0,False,False,True,False,2,17
199,19.2,58.0,False,False,True,False,2,13
200,32.2,64.0,False,False,True,False,2,17
201,43.4,65.0,False,False,False,False,0,16
202,39.5,47.0,False,False,False,False,0,9
203,53.4,100.0,True,False,False,False,2,12
204,53.1,98.0,True,False,False,False,2,7
205,46.9,81.0,True,False,False,False,2,13
206,58.6,98.0,True,False,False,False,2,13
207,40.0,73.0,False,False,False,False,1,21
208,30.5,73.0,False,False,True,False,2,27
209,44.7,62.0,False,False,False,False,0,10
210,48.0,58.0,True,False,False,False,2,6
211,122.1,128.0,True,False,False,False,0,10
212,19.0,43.0,False,False,False,False,2,10
213,23.6,36.0,False,False,False,False,0,6
214,121.4,144.0,False,False,True,False,0,6
215,74.4,82.0,False,False,False,False,1,17
216,36.0,64.0,False,False,False,False,0,13
217,47.0,63.0,False,False,False,False,1,14
218,75.3,77.0,True,False,False,False,0,4
219,69.0,67.0,True,False,False,False,1,5
220,44.3,75.0,True,False,False,False,2,14
221,68.2,85.0,True,False,False,False,1,10
222,106.1,121.0,True,False,False,False,0,8
223,28.2,50.0,True,False,False,False,1,6
224,37.4,69.0,False,False,True,False,1,19
225,111.2,105.0,True,False,False,False,0,8
226,55.9,76.0,False,False,True,False,2,23
227,29.4,59.0,False,False,False,False,1,13
228,35.3,60.0,True,False,False,False,1,8
229,38.0,56.0,False,False,False,False,0,8
230,133.4,133.0,True,False,False,False,0,10
231,31.4,54.0,False,False,False,False,1,10
232,61.3,85.0,False,False,True,False,0,5
233,91.5,129.0,False,False,False,False,2,20
234,14.4,31.0,False,False,True,False,1,5
235,48.0,54.0,True,False,False,False,1,3
236,45.3,73.0,False,False,True,False,0,2
237,66.6,65.0,True,False,False,False,0,4
238,47.2,88.0,False,False,True,False,2,25
239,35.1,65.0,False,False,False,False,2,12
240,96.6,151.0,True,False,True,False,1,4
241,157.1,175.0,True,False,False,False,1,16
242,95.3,102.0,True,False,False,False,0,7
243,96.0,128.0,False,False,False,False,1,20
244,77.7,78.0,True,False,False,False,0,5
245,106.5,133.0,True,False,False,False,1,10
246,63.1,61.0,True,False,False,False,0,3
247,45.7,74.0,True,False,True,False,2,18
248,38.1,50.0,False,False,False,False,0,8
249,22.8,36.0,False,False,False,False,0,10
250,26.6,46.0,False,False,True,False,1,13
251,56.5,105.0,False,False,False,False,2,24
252,32.7,53.0,True,False,False,False,1,9
253,42.2,65.0,False,False,False,False,1,11
254,26.2,46.0,True,False,False,False,1,8
255,45.8,59.0,False,True,False,False,1,9
256,29.4,55.0,False,False,True,False,2,14
257,35.2,52.0,False,False,False,False,1,9
258,44.0,61.0,False,False,False,False,0,10
259,37.7,72.0,True,False,False,False,2,8
260,33.7,54.0,False,False,False,False,1,7
261,36.6,66.0,False,False,True,False,3,14
262,47.7,72.0,False,False,False,False,1,15
263,24.4,50.0,False,False,False,False,2,12
264,40.6,62.0,False,False,False,False,2,12
265,30.1,72.0,False,False,True,False,2,20
266,26.9,57.0,False,False,False,False,1,14
267,45.3,84.0,False,False,True,False,1,26
268,38.5,70.0,True,False,False,False,2,14
269,37.4,70.0,True,False,False,False,2,12
270,50.0,79.0,False,False,False,False,1,16
271,49.1,87.0,False,False,False,False,2,15
272,24.0,62.0,False,False,True,False,2,15
273,33.6,52.0,False,True,False,False,1,2
274,28.6,56.0,True,False,False,False,1,5
275,36.7,51.0,False,True,False,False,1,8
276,66.9,105.0,True,False,True,False,2,33
277,66.1,79.0,True,False,True,False,2,15
278,51.3,55.0,True,False,False,False,1,6
279,54.6,80.0,True,False,False,False,1,11
280,84.4,42.0,False,True,False,False,0,3
281,60.5,71.0,True,False,True,False,2,11
282,55.2,62.0,True,False,False,False,1,7
283,77.4,115.0,True,False,True,False,2,23
284,76.5,99.0,False,False,False,False,1,18
285,57.1,88.0,False,False,False,False,1,12
286,40.6,62.0,False,False,False,False,2,12
287,69.4,111.0,False,False,True,False,3,34
288,53.3,76.0,False,False,False,False,1,11
289,45.8,74.0,False,False,False,False,2,14
290,93.9,79.0,False,True,False,False,1,14
291,51.9,81.0,True,True,True,False,3,13
292,334.8,135.0,False,True,False,False,0,9
293,286.9,154.0,False,True,True,False,1,35
294,295.1,127.0,False,True,False,False,0,8
295,305.7,225.0,False,True,False,False,1,15
297,295.1,181.0,False,True,True,False,1,43
298,302.8,175.0,False,True,False,False,1,14
299,233.6,133.0,False,True,False,False,1,11
300,290.1,187.0,False,True,True,False,1,36
301,394.7,170.0,True,True,False,False,1,12
302,311.1,229.0,False,True,True,False,2,41
303,332.0,187.0,False,True,False,False,1,11
304,289.0,175.0,False,True,False,False,1,10
305,328.1,224.0,False,True,False,False,2,22
306,293.4,161.0,False,True,False,False,1,12
307,377.0,225.0,False,True,False,False,2,19
308,412.8,309.0,False,True,True,False,3,20
310,217.5,113.0,False,True,False,False,1,7
311,376.1,177.0,True,True,False,False,1,10
312,392.2,130.0,False,True,False,False,0,3
313,412.3,187.0,False,True,False,False,1,7
314,418.3,180.0,False,True,False,False,1,9
315,425.9,240.0,False,True,True,False,2,35
316,414.3,215.0,False,True,False,False,2,11
317,426.0,194.0,False,True,True,False,2,10
318,508.5,212.0,False,True,True,False,1,8
319,484.4,245.0,False,True,True,False,2,19
320,496.0,253.0,False,True,True,False,1,16
321,415.8,201.0,False,True,True,False,2,24
322,452.2,171.0,False,True,True,False,1,7
323,516.9,246.0,True,True,False,False,1,6
324,478.0,210.0,False,True,False,False,1,12
325,570.5,404.0,True,True,True,False,2,32
326,589.9,388.0,True,True,True,False,1,34
327,494.7,227.0,True,True,False,False,1,4
328,492.2,225.0,True,True,False,False,1,4
329,477.1,237.0,False,True,False,False,1,13
330,460.1,170.0,False,True,False,False,1,7
331,473.7,190.0,False,True,False,False,1,11
332,459.3,191.0,False,True,False,False,2,9
333,547.7,228.0,True,True,True,False,2,15
334,497.4,257.0,True,True,True,False,2,19
335,606.5,272.0,False,True,True,False,2,62
336,581.7,344.0,True,True,False,False,2,26
337,574.8,302.0,True,True,False,False,2,33
338,533.1,215.0,True,True,False,False,1,10
339,568.7,265.0,True,True,True,False,2,24
340,539.7,248.0,True,True,True,False,2,33
341,561.3,281.0,True,True,True,False,2,38
342,136.6,143.0,True,False,True,False,2,18
343,116.4,145.0,False,False,True,False,0,2
344,96.4,139.0,True,False,False,False,2,12
345,122.2,105.0,True,False,False,False,1,9
346,89.2,99.0,True,False,False,False,1,7
347,147.8,130.0,True,False,False,False,1,8
348,156.5,297.0,True,False,True,False,2,39
349,168.3,170.0,True,False,False,False,2,12
350,146.9,176.0,True,False,False,False,2,9
351,129.2,131.0,True,False,False,False,1,10
352,71.8,107.0,False,False,False,False,1,16
353,117.0,104.0,True,False,False,False,1,8
354,590.9,204.0,False,True,False,False,2,10
355,223.5,93.0,False,True,False,False,0,2
356,288.6,174.0,True,True,True,False,2,12
357,189.8,92.0,False,True,False,False,0,5
358,211.6,177.0,True,False,False,False,1,12
359,496.2,280.0,False,True,True,False,1,14
360,202.6,164.0,True,False,False,False,1,11
361,245.8,209.0,False,True,True,False,2,39
362,169.1,127.0,False,True,False,False,1,9
363,229.0,247.0,False,False,True,False,1,14
364,242.0,272.0,False,False,True,False,1,17
365,248.6,162.0,False,True,False,False,1,24
366,271.3,194.0,True,True,True,False,1,10
367,256.5,160.0,False,True,False,False,0,7
368,196.6,166.0,True,False,False,False,1,10
369,298.9,166.0,True,True,False,False,1,5
370,176.4,148.0,False,True,False,False,1,15
371,236.5,150.0,False,True,False,False,1,11
372,199.2,148.0,False,True,False,False,1,8
373,297.2,206.0,True,True,False,False,2,12
374,398.3,150.0,True,True,True,False,2,10
375,411.7,165.0,True,True,False,False,1,6
376,482.5,270.0,True,True,False,False,1,8
377,407.9,205.0,True,True,False,False,1,5
378,436.6,198.0,True,True,False,False,3,20
379,446.0,160.0,True,True,False,False,1,6
380,441.3,206.0,True,True,False,False,3,23
381,417.0,160.0,True,True,False,False,2,7
382,398.3,130.0,False,True,False,False,2,5
383,435.1,176.0,True,True,False,False,2,10
384,424.5,180.0,True,True,False,False,2,12
