,調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane
695,2015100000,2015年度,40225,福岡県 うきは市,,"29,509",,1151.4,349.0,False,False,True,True
750,2015100000,2015年度,44212,大分県 豊後大野市,,"36,584",,1035.9,348.0,False,False,True,True
5,2015100000,2015年度,1206,北海道 釧路市,,"174,742",,1093.1,347.0,False,False,True,True
640,2015100000,2015年度,36206,徳島県 阿波市,,"37,202",,839.5,347.0,True,False,True,True
728,2015100000,2015年度,43204,熊本県 荒尾市,,"53,407",,1143.0,347.0,True,False,False,True
27,2015100000,2015年度,1228,北海道 深川市,,"21,909",,1123.2,345.0,False,False,True,True
697,2015100000,2015年度,40227,福岡県 嘉麻市,,"38,743",,1107.0,345.0,False,False,True,True
336,2015100000,2015年度,18205,福井県 大野市,,"33,109",,581.7,344.0,True,True,False,False
589,2015100000,2015年度,32205,島根県 大田市,,"35,166",,943.4,344.0,False,False,True,True
670,2015100000,2015年度,39210,高知県 四万十市,,"34,313",,981.4,342.0,True,False,True,True
782,2015100000,2015年度,47205,沖縄県 宜野湾市,,"96,243",,1728.3,342.0,False,False,True,True
788,2015100000,2015年度,47212,沖縄県 豊見城市,,"61,119",,1718.1,342.0,False,False,True,True
786,2015100000,2015年度,47210,沖縄県 糸満市,,"58,547",,1718.8,341.0,False,False,True,True
34,2015100000,2015年度,1236,北海道 北斗市,,"46,390",,868.9,340.0,False,True,False,False
765,2015100000,2015年度,46206,鹿児島県 阿久根市,,"21,198",,1217.8,340.0,False,False,True,True
631,2015100000,2015年度,35212,山口県 柳井市,,"32,945",,1019.6,339.0,False,True,False,False
720,2015100000,2015年度,42210,長崎県 壱岐市,,"27,103",,1294.2,339.0,False,False,False,True
772,2015100000,2015年度,46217,鹿児島県 曽於市,,"36,557",,1180.8,338.0,False,False,True,True
783,2015100000,2015年度,47207,沖縄県 石垣市,,"47,564",,2207.2,338.0,False,False,True,True
75,2015100000,2015年度,5203,秋田県 横手市,,"92,197",,643.6,337.0,False,True,True,False
757,2015100000,2015年度,45205,宮崎県 小林市,,"46,221",,1102.6,337.0,False,False,True,True
47,2015100000,2015年度,3203,岩手県 大船渡市,,"38,058",,552.6,334.0,False,True,False,False
685,2015100000,2015年度,40214,福岡県 豊前市,,"25,940",,1178.8,334.0,True,True,False,True
627,2015100000,2015年度,35207,山口県 下松市,,"55,812",,993.5,333.0,False,True,False,False
683,2015100000,2015年度,40212,福岡県 大川市,,"34,838",,1132.8,332.0,False,False,True,True
699,2015100000,2015年度,40229,福岡県 みやま市,,"38,139",,1124.0,332.0,True,False,False,True
744,2015100000,2015年度,44206,大分県 臼杵市,,"38,748",,1038.5,331.0,False,False,True,True
24,2015100000,2015年度,1225,北海道 滝川市,,"41,192",,1045.1,330.0,True,False,True,True
530,2015100000,2015年度,27232,大阪府 阪南市,,"54,276",,619.3,330.0,True,True,True,False
686,2015100000,2015年度,40215,福岡県 中間市,,"41,796",,1155.1,330.0,True,True,False,True
675,2015100000,2015年度,40202,福岡県 大牟田市,,"117,360",,1175.9,329.0,False,False,True,True
745,2015100000,2015年度,44207,大分県 津久見市,,"17,969",,1047.3,329.0,False,False,True,True
784,2015100000,2015年度,47208,沖縄県 浦添市,,"114,232",,1720.9,329.0,False,False,True,True
787,2015100000,2015年度,47211,沖縄県 沖縄市,,"139,279",,1736.4,329.0,False,False,True,True
655,2015100000,2015年度,38205,愛媛県 新居浜市,,"119,903",,840.8,328.0,True,False,True,True
680,2015100000,2015年度,40207,福岡県 柳川市,,"67,777",,1129.6,328.0,False,False,False,True
768,2015100000,2015年度,46213,鹿児島県 西之表市,,"15,967",,1332.0,327.0,False,False,True,True
495,2015100000,2015年度,26212,京都府 京丹後市,,"55,054",,713.6,326.0,False,True,True,False
705,2015100000,2015年度,41204,佐賀県 多久市,,"19,749",,1140.8,326.0,True,False,False,True
721,2015100000,2015年度,42211,長崎県 五島市,,"37,327",,1327.3,326.0,False,False,True,True
592,2015100000,2015年度,32209,島根県 雲南市,,"39,032",,850.1,325.0,False,False,True,True
665,2015100000,2015年度,39204,高知県 南国市,,"47,982",,867.9,325.0,False,False,True,True
677,2015100000,2015年度,40204,福岡県 直方市,,"57,146",,1112.6,325.0,False,False,False,True
730,2015100000,2015年度,43206,熊本県 玉名市,,"66,782",,1156.6,323.0,False,False,True,True
774,2015100000,2015年度,46219,鹿児島県 いちき串木野市,,"29,282",,1203.7,323.0,False,False,True,True
780,2015100000,2015年度,46225,鹿児島県 姶良市,,"75,173",,1195.0,323.0,False,False,True,True
790,2015100000,2015年度,47214,沖縄県 宮古島市,,"51,186",,2044.9,323.0,False,False,True,True
54,2015100000,2015年度,3211,岩手県 釜石市,,"36,802",,654.6,322.0,False,True,False,False
749,2015100000,2015年度,44211,大分県 宇佐市,,"56,258",,1015.0,322.0,True,False,True,True
769,2015100000,2015年度,46214,鹿児島県 垂水市,,"15,520",,1185.0,322.0,False,False,True,True
777,2015100000,2015年度,46222,鹿児島県 奄美市,,"43,156",,1493.8,322.0,False,False,True,True
778,2015100000,2015年度,46223,鹿児島県 南九州市,,"36,352",,1203.4,322.0,True,False,True,True
552,2015100000,2015年度,28222,兵庫県 養父市,,"24,288",,651.7,320.0,True,True,True,False
553,2015100000,2015年度,28223,兵庫県 丹波市,,"64,660",,634.4,320.0,True,True,True,False
656,2015100000,2015年度,38206,愛媛県 西条市,,"108,174",,850.7,320.0,True,False,True,True
741,2015100000,2015年度,44203,大分県 中津市,,"83,965",,1184.8,320.0,True,True,False,True
