"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
調査年 コード,調査年,"地域 コード","地域",/項目,"A1101_総人口【人】","注釈"
"2015100000","2015年度","07202","福島県 会津若松市","","124,062",""
"2015100000","2015年度","07203","福島県 郡山市","","335,444",""
"2015100000","2015年度","07204","福島県 いわき市","","350,237",""
"2015100000","2015年度","07205","福島県 白河市","","61,913",""
"2015100000","2015年度","07207","福島県 須賀川市","","77,441",""
"2015100000","2015年度","07208","福島県 喜多方市","","49,377",""
"2015100000","2015年度","07209","福島県 相馬市","","38,556",""
"2015100000","2015年度","07210","福島県 二本松市","","58,162",""
"2015100000","2015年度","07211","福島県 田村市","","38,503",""
"2015100000","2015年度","07212","福島県 南相馬市","","57,797",""
"2015100000","2015年度","07213","福島県 伊達市","","62,400",""
"2015100000","2015年度","07214","福島県 本宮市","","30,924",""
"2015100000","2015年度","08201","茨城県 水戸市","","270,783",""
"2015100000","2015年度","08202","茨城県 日立市","","185,054",""
"2015100000","2015年度","08203","茨城県 土浦市","","140,804",""
"2015100000","2015年度","08204","茨城県 古河市","","140,946",""
"2015100000","2015年度","08205","茨城県 石岡市","","76,020",""
"2015100000","2015年度","08207","茨城県 結城市","","51,594",""
"2015100000","2015年度","08208","茨城県 龍ケ崎市","","78,342",""
"2015100000","2015年度","08210","茨城県 下妻市","","43,293",""
"2015100000","2015年度","08211","茨城県 常総市","","61,483",""
"2015100000","2015年度","08212","茨城県 常陸太田市","","52,294",""
"2015100000","2015年度","08214","茨城県 高萩市","","29,638",""
"2015100000","2015年度","08215","茨城県 北茨城市","","44,412",""
"2015100000","2015年度","08216","茨城県 笠間市","","76,739",""
"2015100000","2015年度","08217","茨城県 取手市","","106,570",""
"2015100000","2015年度","08219","茨城県 牛久市","","84,317",""
"2015100000","2015年度","08220","茨城県 つくば市","","226,963",""
"2015100000","2015年度","08221","茨城県 ひたちなか市","","155,689",""
"2015100000","2015年度","08222","茨城県 鹿嶋市","","67,879",""
"2015100000","2015年度","08223","茨城県 潮来市","","29,111",""
"2015100000","2015年度","08224","茨城県 守谷市","","64,753",""
"2015100000","2015年度","08225","茨城県 常陸大宮市","","42,587",""
"2015100000","2015年度","08226","茨城県 那珂市","","54,276",""
"2015100000","2015年度","08227","茨城県 筑西市","","104,573",""
"2015100000","2015年度","08228","茨城県 坂東市","","54,087",""
"2015100000","2015年度","08229","茨城県 稲敷市","","42,810",""
"2015100000","2015年度","08230","茨城県 かすみがうら市","","42,147",""
"2015100000","2015年度","08231","茨城県 桜川市","","42,632",""
"2015100000","2015年度","08232","茨城県 神栖市","","94,522",""
"2015100000","2015年度","08233","茨城県 行方市","","34,909",""
"2015100000","2015年度","08234","茨城県 鉾田市","","48,147",""
"2015100000","2015年度","08235","茨城県 つくばみらい市","","49,136",""
"2015100000","2015年度","08236","茨城県 小美玉市","","50,911",""
"2015100000","2015年度","09201","栃木県 宇都宮市","","518,594",""
"2015100000","2015年度","09202","栃木県 足利市","","149,452",""
"2015100000","2015年度","09203","栃木県 栃木市","","159,211",""
"2015100000","2015年度","09204","栃木県 佐野市","","118,919",""
"2015100000","2015年度","09205","栃木県 鹿沼市","","98,374",""
"2015100000","2015年度","09206","栃木県 日光市","","83,386",""
"2015100000","2015年度","09208","栃木県 小山市","","166,760",""
"2015100000","2015年度","09209","栃木県 真岡市","","79,539",""
"2015100000","2015年度","09210","栃木県 大田原市","","75,457",""
"2015100000","2015年度","09211","栃木県 矢板市","","33,354",""
"2015100000","2015年度","09213","栃木県 那須塩原市","","117,146",""
"2015100000","2015年度","09214","栃木県 さくら市","","44,901",""
"2015100000","2015年度","09215","栃木県 那須烏山市","","27,047",""
"2015100000","2015年度","09216","栃木県 下野市","","59,431",""
"2015100000","2015年度","10201","群馬県 前橋市","","336,154",""
"2015100000","2015年度","10202","群馬県 高崎市","","370,884",""
"2015100000","2015年度","10203","群馬県 桐生市","","114,714",""
"2015100000","2015年度","10204","群馬県 伊勢崎市","","208,814",""
"2015100000","2015年度","10205","群馬県 太田市","","219,807",""
"2015100000","2015年度","10206","群馬県 沼田市","","48,676",""
"2015100000","2015年度","10207","群馬県 館林市","","76,667",""
"2015100000","2015年度","10208","群馬県 渋川市","","78,391",""
"2015100000","2015年度","10209","群馬県 藤岡市","","65,708",""
"2015100000","2015年度","10210","群馬県 富岡市","","49,746",""
"2015100000","2015年度","10211","群馬県 安中市","","58,531",""
"2015100000","2015年度","10212","群馬県 みどり市","","50,906",""
"2015100000","2015年度","11100","埼玉県 さいたま市","","1,263,979",""
"2015100000","2015年度","11201","埼玉県 川越市","","350,745",""
"2015100000","2015年度","11202","埼玉県 熊谷市","","198,742",""
"2015100000","2015年度","11203","埼玉県 川口市","","578,112",""
"2015100000","2015年度","11206","埼玉県 行田市","","82,113",""
"2015100000","2015年度","11207","埼玉県 秩父市","","63,555",""
"2015100000","2015年度","11208","埼玉県 所沢市","","340,386",""
"2015100000","2015年度","11209","埼玉県 飯能市","","80,715",""
"2015100000","2015年度","11210","埼玉県 加須市","","112,229",""
"2015100000","2015年度","11211","埼玉県 本庄市","","77,881",""
"2015100000","2015年度","11212","埼玉県 東松山市","","91,437",""
"2015100000","2015年度","11214","埼玉県 春日部市","","232,709",""
"2015100000","2015年度","11215","埼玉県 狭山市","","152,405",""
"2015100000","2015年度","11216","埼玉県 羽生市","","54,874",""
"2015100000","2015年度","11217","埼玉県 鴻巣市","","118,072",""
"2015100000","2015年度","11218","埼玉県 深谷市","","143,811",""
